"","date","MTR_NUMBER","conload","imp"
"210",2021-04-08,"USS 0009074",576,5.5
"211",2021-04-08,"USS 0009075",576,5.48
"212",2021-04-08,"USS 0009076",576,4.84
"213",2021-04-08,"USS 0015695",576,2.68
"214",2021-04-08,"USS 0017113",192,3.42
"215",2021-04-08,"USS 0017137",768,0
"216",2021-04-08,"USS 0017138",576,8.86
"217",2021-04-08,"USS 0020686",192,0
"218",2021-04-08,"USS 0020707",768,50.92
"219",2021-04-08,"UST 0000711",1248,31.84
"220",2021-04-08,"UST 0000712",1248,19.38
"221",2021-04-08,"UST 0000713",1248,18.24
"222",2021-04-08,"UST 0002019",1248,17.66
"223",2021-04-08,"UST 0002020",1248,15.22
"224",2021-04-08,"UST 0002021",NA,342.78
"225",2021-04-09,"USS 0004903",384,9.82
"226",2021-04-09,"USS 0004927",384,9.8
"227",2021-04-09,"USS 0004949",384,7.24
"228",2021-04-09,"USS 0004966",384,5.66
"229",2021-04-09,"USS 0005019",576,6.4
"230",2021-04-09,"USS 0008953",576,7.56
"231",2021-04-09,"USS 0008983",576,8.54
"232",2021-04-09,"USS 0009044",576,8.54
"233",2021-04-09,"USS 0009063",576,5.14
"234",2021-04-09,"USS 0009067",576,1.98
"235",2021-04-09,"USS 0009070",576,2.36
"236",2021-04-09,"USS 0009072",576,5.38
"237",2021-04-09,"USS 0009073",576,5.5
"238",2021-04-09,"USS 0009074",576,5.52
"239",2021-04-09,"USS 0009075",576,5.5
"240",2021-04-09,"USS 0009076",576,4.82
"241",2021-04-09,"USS 0015695",576,2.5
"242",2021-04-09,"USS 0017113",192,3.56
"243",2021-04-09,"USS 0017137",768,0
"244",2021-04-09,"USS 0017138",576,8.54
"245",2021-04-09,"USS 0020686",192,0
"246",2021-04-09,"USS 0020707",768,47.86
"247",2021-04-09,"UST 0000711",1248,32.18
"248",2021-04-09,"UST 0000712",1248,19.46
"249",2021-04-09,"UST 0000713",1248,18.84
"250",2021-04-09,"UST 0002019",1248,17.46
"251",2021-04-09,"UST 0002020",1248,15.08
"252",2021-04-09,"UST 0002021",NA,285.66
"253",2021-04-10,"USS 0004903",384,9.18
"254",2021-04-10,"USS 0004927",384,10.98
"255",2021-04-10,"USS 0004949",384,7.12
"256",2021-04-10,"USS 0004966",384,5.22
"257",2021-04-10,"USS 0005019",576,4.54
"258",2021-04-10,"USS 0008953",576,9.88
"259",2021-04-10,"USS 0008983",576,9
"260",2021-04-10,"USS 0009044",576,12.38
"261",2021-04-10,"USS 0009063",576,5.5
"262",2021-04-10,"USS 0009067",576,1.74
"263",2021-04-10,"USS 0009070",576,2.18
"264",2021-04-10,"USS 0009072",576,5.38
"265",2021-04-10,"USS 0009073",576,5.5
"266",2021-04-10,"USS 0009074",576,5.5
"267",2021-04-10,"USS 0009075",576,5.5
"268",2021-04-10,"USS 0009076",576,4.94
"269",2021-04-10,"USS 0015695",576,2.38
"270",2021-04-10,"USS 0017113",192,2.44
"271",2021-04-10,"USS 0017137",768,0
"272",2021-04-10,"USS 0017138",576,3
"273",2021-04-10,"USS 0020686",192,0
"274",2021-04-10,"USS 0020707",768,45.48
"275",2021-04-10,"UST 0000711",1248,32.46
"276",2021-04-10,"UST 0000712",1248,19.34
"277",2021-04-10,"UST 0000713",1248,18.38
"278",2021-04-10,"UST 0002019",1248,17.84
"279",2021-04-10,"UST 0002020",1248,15.1
"280",2021-04-10,"UST 0002021",NA,353.92
"281",2021-04-11,"USS 0004903",384,8.02
"282",2021-04-11,"USS 0004927",384,14.46
"283",2021-04-11,"USS 0004949",384,7.42
"284",2021-04-11,"USS 0004966",384,5.56
"285",2021-04-11,"USS 0005019",576,5.5
"286",2021-04-11,"USS 0008953",576,7.1
"287",2021-04-11,"USS 0008983",576,7.06
"288",2021-04-11,"USS 0009044",576,10.48
"289",2021-04-11,"USS 0009063",576,8.52
"290",2021-04-11,"USS 0009067",576,0
"291",2021-04-11,"USS 0009070",576,1.06
"292",2021-04-11,"USS 0009072",576,5.42
"293",2021-04-11,"USS 0009073",576,5.52
"294",2021-04-11,"USS 0009074",576,5.52
"295",2021-04-11,"USS 0009075",576,5.52
"296",2021-04-11,"USS 0009076",576,5.5
"297",2021-04-11,"USS 0015695",576,2.02
"298",2021-04-11,"USS 0017113",192,0.9
"299",2021-04-11,"USS 0017137",768,0
"300",2021-04-11,"USS 0017138",576,4.4
"301",2021-04-11,"USS 0020686",192,0
"302",2021-04-11,"USS 0020707",768,48.2
"303",2021-04-11,"UST 0000711",1248,30.46
"304",2021-04-11,"UST 0000712",1248,19.6
"305",2021-04-11,"UST 0000713",1248,18.26
"306",2021-04-11,"UST 0002019",1248,17.72
"307",2021-04-11,"UST 0002020",1248,15.38
"308",2021-04-11,"UST 0002021",NA,303.9
"309",2021-04-12,"USS 0004903",384,11.06
"310",2021-04-12,"USS 0004927",384,10.62
"311",2021-04-12,"USS 0004949",384,7.28
"312",2021-04-12,"USS 0004966",384,5.58
"313",2021-04-12,"USS 0005019",576,4.88
"314",2021-04-12,"USS 0008953",576,6.08
"315",2021-04-12,"USS 0008983",576,8.08
"316",2021-04-12,"USS 0009044",576,10.06
"317",2021-04-12,"USS 0009063",576,10.24
"318",2021-04-12,"USS 0009067",576,2.78
"319",2021-04-12,"USS 0009070",576,3.66
"320",2021-04-12,"USS 0009072",576,5.36
"321",2021-04-12,"USS 0009073",576,5.48
"322",2021-04-12,"USS 0009074",576,5.48
"323",2021-04-12,"USS 0009075",576,5.48
"324",2021-04-12,"USS 0009076",576,5.48
"325",2021-04-12,"USS 0015695",576,2.66
"326",2021-04-12,"USS 0017113",192,4.58
"327",2021-04-12,"USS 0017137",768,0
"328",2021-04-12,"USS 0017138",576,9.82
"329",2021-04-12,"USS 0020686",192,0
"330",2021-04-12,"USS 0020707",768,51.68
"331",2021-04-12,"UST 0000711",1248,30.76
"332",2021-04-12,"UST 0000712",1248,19.3
"333",2021-04-12,"UST 0000713",1248,18.12
"334",2021-04-12,"UST 0002019",1248,17.98
"335",2021-04-12,"UST 0002020",1248,15.04
"336",2021-04-12,"UST 0002021",NA,358.16
"337",2021-04-13,"USS 0004903",384,7.12
"338",2021-04-13,"USS 0004927",384,10.44
"339",2021-04-13,"USS 0004949",384,4.44
"340",2021-04-13,"USS 0004966",384,5.7
"341",2021-04-13,"USS 0005019",576,4.98
"342",2021-04-13,"USS 0008953",576,5.16
"343",2021-04-13,"USS 0008983",576,8.3
"344",2021-04-13,"USS 0009044",576,9.08
"345",2021-04-13,"USS 0009063",576,6.44
"346",2021-04-13,"USS 0009067",576,3.78
