"","date","CATEGORY","conload","imp"
"416",2021-08-17,"Residential",1920,38.13
"417",2021-08-17,"Water Works",NA,148.49
"418",2021-08-18,"MSI",6336,80.78
"419",2021-08-18,"Residential",1920,35.54
"420",2021-08-18,"Water Works",NA,124.73
"421",2021-08-19,"MSI",6336,75.6
"422",2021-08-19,"Residential",1920,33.11
"423",2021-08-19,"Water Works",NA,152.59
"424",2021-08-20,"MSI",6336,79.7
"425",2021-08-20,"Residential",1920,27.54
"426",2021-08-20,"Water Works",NA,118.82
"427",2021-08-21,"MSI",6336,73.94
"428",2021-08-21,"Residential",1920,31.01
"429",2021-08-21,"Water Works",NA,137.99
"430",2021-08-22,"MSI",6336,70.68
"431",2021-08-22,"Residential",1920,30.46
"432",2021-08-22,"Water Works",NA,122.06
"433",2021-08-23,"MSI",6336,79.61
"434",2021-08-23,"Residential",1920,31.62
"435",2021-08-23,"Water Works",NA,138.42
"436",2021-08-24,"MSI",6336,73.94
"437",2021-08-24,"Residential",1920,34.58
"438",2021-08-24,"Water Works",NA,152.69
"439",2021-08-25,"MSI",6336,78.31
"440",2021-08-25,"Residential",1920,33.28
"441",2021-08-25,"Water Works",NA,133.35
"442",2021-08-26,"MSI",6336,78.43
"443",2021-08-26,"Residential",1920,31.48
"444",2021-08-26,"Water Works",NA,138.29
"445",2021-08-27,"MSI",6336,78.07
"446",2021-08-27,"Residential",1920,32.57
"447",2021-08-27,"Water Works",NA,161.75
"448",2021-08-28,"MSI",6336,75.02
"449",2021-08-28,"Residential",1920,29.54
"450",2021-08-28,"Water Works",NA,200.14
"451",2021-08-29,"MSI",6336,73.66
"452",2021-08-29,"Residential",1920,31.77
"453",2021-08-29,"Water Works",NA,160.01
"454",2021-08-30,"MSI",6336,72.74
"455",2021-08-30,"Residential",1920,36.92
"456",2021-08-30,"Water Works",NA,152.32
"457",2021-08-31,"MSI",6336,83.28
"458",2021-08-31,"Residential",1920,33.78
"459",2021-08-31,"Water Works",NA,176.96
"460",2021-09-01,"MSI",6336,78.06
"461",2021-09-01,"Residential",1920,34.36
"462",2021-09-01,"Water Works",NA,178.24
"463",2021-09-02,"MSI",6336,75.04
"464",2021-09-02,"Residential",1920,33.27
"465",2021-09-02,"Water Works",NA,192.92
"466",2021-09-03,"MSI",6336,75.85
"467",2021-09-03,"Residential",1920,33.55
"468",2021-09-03,"Water Works",NA,196.11
"469",2021-09-04,"MSI",6336,75.35
"470",2021-09-04,"Residential",1920,34.22
"471",2021-09-04,"Water Works",NA,138.44
"472",2021-09-05,"MSI",6336,74.56
"473",2021-09-05,"Residential",1920,33.54
"474",2021-09-05,"Water Works",NA,171.96
"475",2021-09-06,"MSI",6336,78.24
"476",2021-09-06,"Residential",1920,36.04
"477",2021-09-06,"Water Works",NA,177.78
"478",2021-09-07,"MSI",6336,78.64
"479",2021-09-07,"Residential",1920,39.45
"480",2021-09-07,"Water Works",NA,155.09
"481",2021-09-08,"MSI",6336,78.46
"482",2021-09-08,"Residential",1920,37.18
"483",2021-09-08,"Water Works",NA,167.38
"484",2021-09-09,"MSI",6336,78.88
"485",2021-09-09,"Residential",1920,33.88
"486",2021-09-09,"Water Works",NA,179.08
"487",2021-09-10,"MSI",6336,74.45
"488",2021-09-10,"Residential",1920,28.53
"489",2021-09-10,"Water Works",NA,166.38
"490",2021-09-11,"MSI",6336,76.2
"491",2021-09-11,"Residential",1920,29.44
"492",2021-09-11,"Water Works",NA,140.1
"493",2021-09-12,"MSI",6333,75.01
"494",2021-09-12,"Residential",1918,31.01
"495",2021-09-12,"Water Works",NA,190.67
"496",2021-09-13,"MSI",6336,79.93
"497",2021-09-13,"Residential",1920,31.17
"498",2021-09-13,"Water Works",NA,152.94
"499",2021-09-14,"MSI",6336,82.7
"500",2021-09-14,"Residential",1920,34.07
"501",2021-09-14,"Water Works",NA,151.3
"502",2021-09-15,"MSI",6336,79.22
"503",2021-09-15,"Residential",1920,32.18
"504",2021-09-15,"Water Works",NA,155.99
"505",2021-09-16,"MSI",6336,80.85
"506",2021-09-16,"Residential",1920,35.13
"507",2021-09-16,"Water Works",NA,146.69
"508",2021-09-17,"MSI",6336,80.2
"509",2021-09-17,"Residential",1920,29.74
"510",2021-09-17,"Water Works",NA,216.47
"511",2021-09-18,"MSI",6336,77.95
"512",2021-09-18,"Residential",1920,28.1
"513",2021-09-18,"Water Works",NA,119.71
"514",2021-09-19,"MSI",6336,76.8
"515",2021-09-19,"Residential",1920,30.45
"516",2021-09-19,"Water Works",NA,154.4
"517",2021-09-20,"MSI",6336,81.89
"518",2021-09-20,"Residential",1920,27.45
"519",2021-09-20,"Water Works",NA,153.81
"520",2021-09-21,"MSI",6336,80.44
"521",2021-09-21,"Residential",1920,29.15
"522",2021-09-21,"Water Works",NA,148.14
"523",2021-09-22,"MSI",6336,79.47
"524",2021-09-22,"Residential",1920,29.9
"525",2021-09-22,"Water Works",NA,173.88
"526",2021-09-23,"MSI",6336,84.02
"527",2021-09-23,"Residential",1920,28.69
"528",2021-09-23,"Water Works",NA,163.87
"529",2021-09-24,"MSI",6336,82.93
"530",2021-09-24,"Residential",1920,31.8
"531",2021-09-24,"Water Works",NA,162.83
"532",2021-09-25,"MSI",6336,78.83
"533",2021-09-25,"Residential",1920,29.83
"534",2021-09-25,"Water Works",NA,156.66
"535",2021-09-26,"MSI",6336,79.6
"536",2021-09-26,"Residential",1920,27.97
"537",2021-09-26,"Water Works",NA,182.28
